"Run Fondo";"run_adm";"run_fm_l";"entidad_nombre_fm";"nombre_corto";"vigencia";"estado";"tipo";"razon_social";"fecha_deposito";"fecha_ultima_modificacion";"fecha_inicio";"nro_fecha_resolucion";"fecha_cumplimiento";"fecha_termino";"num_registro"
"9859";"96767630-6";"9859-0";FONDO MUTUO BANCHILE GLOBAL HIGH YIELD;BANCHILE GLOBAL HY;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-02-11;2022-10-24;2020-06-15;-;2020-11-26;;FM201604
"10227";"96767630-6";"10227-K";FONDO MUTUO BANCHILE GLOBAL MEGATENDENCIAS;FM BCH GLOBAL MEGA;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-02-25;2023-05-16;2023-06-15;-;2023-09-14;;FM221984
"8023";"96767630-6";"8023-3";FONDO MUTUO BANCHILE HORIZONTE;HORIZONTE;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-01-07;2022-11-02;1982-06-21;Res. 100 (21/06/1982);1982-06-21;;FM110188
"9294";"96767630-6";"9294-0";FONDO MUTUO BANCHILE INVERSIONES ALTERNATIVAS;INVERSIONES ALTERNAT;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-01-21;2022-10-24;2016-03-16;-;2016-03-16;;FM161035
"8534";"96767630-6";"8534-0";FONDO MUTUO BANCHILE INVERSIÓN CHINA;INVERSION CHINA;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-05;2022-10-19;2008-07-03;Res. 487 (03/07/2008);2008-07-11;;FM110214
"8078";"96767630-6";"8078-0";FONDO MUTUO BANCHILE INVERSIÓN USA;INVERSION USA;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-14;2022-10-13;1995-06-22;Res. 126 (22/06/1995);1995-06-22;;FM110233
"9255";"96767630-6";"9255-K";FONDO MUTUO BANCHILE JAPÓN ACCIONARIO;JAPÓN ACCIONARIO;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-05;2022-10-19;2015-11-18;-;2015-12-03;;FM150996
"8811";"96767630-6";"8811-0";FONDO MUTUO BANCHILE LATAM ACCIONARIO;LATAM ACCIONARIO;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-19;2023-04-18;2010-09-27;Res. 497 (27/09/2010);2010-09-30;;FM110217
"8249";"96767630-6";"8249-K";FONDO MUTUO BANCHILE LATAM CORPORATE INVESTMENT GRADE;LATAM CORP INVESTMEN;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-10-19;2022-11-09;2003-02-24;Res. 389 (24/02/2003);2003-03-05;;FM110185
"8115";"96767630-6";"8115-9";FONDO MUTUO BANCHILE LIQUIDEZ;LIQUIDEZ;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-08-30;2022-11-09;1997-08-28;Res. 311 (28/08/1997);1997-08-28;;FM110189
"10060";"96767630-6";"10060-9";FONDO MUTUO BANCHILE MODERADO;FM BCH MODERADO;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-03;2022-11-17;2021-07-14;-;2021-08-05;;FM211816
"8555";"96767630-6";"8555-3";FONDO MUTUO BANCHILE PORTAFOLIO ACTIVO AGRESIVO;ACTIVO AGRESIVO;No Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-04-16;2022-11-11;2007-12-09;Res. 107 (09/12/2007);2007-12-09;2023-11-01;FM110221
"8377";"96767630-6";"8377-1";FONDO MUTUO BANCHILE PORTAFOLIO CONSERVADOR LARGO PLAZO;FM BCH P ConserV LP;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-11;2023-10-23;2005-06-04;Res. 238 (04/06/2005);2005-06-04;;FM110169
"10151";"96767630-6";"10151-6";FONDO MUTUO BANCHILE PORTAFOLIO ACTIVO DOLAR AGRESIVO;FM BCH PA USD AGRESI;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-24;2022-11-17;2021-11-08;-;2021-11-16;;FM211907
"10152";"96767630-6";"10152-4";FONDO MUTUO BANCHILE PORTAFOLIO ACTIVO DOLAR CONSERVADOR;FM BCH PA USD CONSER;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-24;2022-11-17;2021-11-08;-;2022-01-17;;FM211908
"10111";"96767630-6";"10111-7";FONDO MUTUO BANCHILE PORTAFOLIO ACTIVO DOLAR MODERADO;FM BCH PA USD MOD;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-07-23;2022-11-17;2021-08-02;-;2021-08-04;;FM211867
"9043";"96767630-6";"9043-3";FONDO MUTUO BANCHILE PORTAFOLIO MODERADO LARGO PLAZO;FM BCH P Moderado LP;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-11;2023-10-17;2013-12-20;-;2013-12-20;;FM130676
"9067";"96767630-6";"9067-0";FONDO MUTUO BANCHILE PORTAFOLIO ACTIVO MODERADO;ACTIVO MODERADO;No Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-04-16;2022-11-11;2014-05-15;-;2014-08-18;2023-11-15;FM140701
"8448";"96767630-6";"8448-4";FONDO MUTUO BANCHILE PORTAFOLIO AGRESIVO LARGO PLAZO;FM BCH P Agresivo LP;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-11;2023-10-03;2006-09-05;Res. 358 (05/09/2006);2006-10-13;;FM110170
"10519";"96767630-6";"10519-8";FONDO MUTUO BANCHILE PORTAFOLIO AHORRO CORTO PLAZO;FM BCH P AHORRO CP;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-09-21;;2023-10-02;-;2023-10-03;;FM232278
"10520";"96767630-6";"10520-1";FONDO MUTUO BANCHILE PORTAFOLIO RETORNO MEDIANO PLAZO;FM BCH P RETORNO MP;Vigente;;"6-FM DE LIBRE INVERSION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-09-21;;2023-10-02;-;2023-10-10;;FM232279
"8274";"96767630-6";"8274-0";FONDO MUTUO BANCHILE RENTA CORTO PLAZO;FM RENTA CP;Vigente;;"2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-04;2022-10-24;2003-11-13;Res. 54 (13/11/2003);2003-11-13;;FM110181
"8357";"96767630-6";"8357-7";FONDO MUTUO BANCHILE RENTA FUTURA;RENTA FUTURA;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-03-20;2022-11-02;2005-02-15;Res. 316 (15/02/2005);2005-02-15;;FM110194
"10061";"96767630-6";"10061-7";FONDO MUTUO BANCHILE RENTA LARGO PLAZO;FM BCH RENTA LP;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-04;2022-11-02;2021-07-14;-;2021-08-16;;FM211817
"9489";"96767630-6";"9489-7";FONDO MUTUO BANCHILE RENTA VARIABLE NACIONAL;RENTA VARIABLE NAC;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-05-25;2022-10-21;2017-08-17;-;2018-02-08;;FM171230
"8028";"96767630-6";"8028-4";FONDO MUTUO BANCHILE RETORNO L.P. UF;RETORNO L.P. UF;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-05-25;2022-11-02;1986-11-17;Res. 186 (17/11/1986);1986-11-17;;FM110196
"8380";"96767630-6";"8380-1";FONDO MUTUO BANCHILE SELECCIÓN ACCIONES CHILENAS;FM BCH SEL ACCIONES;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-25;2022-12-04;2005-09-13;Res. 484 (13/09/2005);2005-10-03;;FM110215
"8300";"96767630-6";"8300-3";FONDO MUTUO BANCHILE U.S DOLLAR;U.S. DOLLAR;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-06-05;2022-10-13;2004-05-17;Res. 238 (17/05/2004);2004-07-07;;FM110222
"8189";"96767630-6";"8189-2";FONDO MUTUO BANCHILE US MID CAP;US MID CAP;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-14;2022-10-19;2001-06-12;Res. 194 (12/06/2001);2001-06-14;;FM110223
"10433";"96767630-6";"10433-7";FONDO MUTUO BANCHILE USA NIVEL 100;FM BCH USA NIVEL 100;Vigente;;"7-FM ESTRUCTURADO";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-03;;2023-03-08;-;2023-03-09;;FM232192
"8127";"96767630-6";"8127-2";FONDO MUTUO BANCHILE UTILIDADES;UTILIDADES;Vigente;;"2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-08-30;2022-10-24;1998-12-05;Res. 220 (05/12/1998);1998-12-05;;FM110197
"8536";"96836390-5";"8536-7";FONDO MUTUO BANCOESTADO ACCIONES NACIONALES;ACCIONES NACIONALES;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2019-06-14;2021-04-22;2007-12-19;Res. 510 (19/12/2007);2008-02-22;;FM110306
"9291";"96836390-5";"9291-6";FONDO MUTUO BANCOESTADO AHORRO CORTO PLAZO;AHORRO CORTO PLAZO;Vigente;;"2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2019-06-14;2021-04-22;2016-01-29;-;2016-03-18;;FM161032
"8744";"96836390-5";"8744-0";FONDO MUTUO BANCOESTADO BNP PARIBAS ACCIONES DESARROLLADAS;BNP PARIBAS ACC. DES;Vigente;;"6-FM DE LIBRE INVERSION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-01-29;2021-04-22;2009-11-20;Res. 526 (20/11/2009);2010-01-05;;FM110312
"8807";"96836390-5";"8807-2";FONDO MUTUO BANCOESTADO BNP PARIBAS MAS RENTA BICENTENARIO;MAS RENTA BICENTENAR;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-08-06;2022-12-09;2010-08-19;Res. 454 (19/08/2010);2010-08-19;;FM110314
"8753";"96836390-5";"8753-K";FONDO MUTUO BANCOESTADO BNP PARIBAS RENTA EMERGENTE;BNP RENTA EMERGENTE;Vigente;;"6-FM DE LIBRE INVERSION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2019-07-12;2021-04-22;2009-11-20;Res. 624 (20/11/2009);2009-12-15;;FM110316
"10360";"96836390-5";"10360-8";FONDO MUTUO BANCOESTADO CHILE ECOLOGICO;CHILE ECOLOGICO;Vigente;;"6-FM DE LIBRE INVERSION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-12-09;2023-07-10;2022-11-03;-;2022-11-18;;FM222119
"10502";"96836390-5";"10502-3";FONDO MUTUO BANCOESTADO DEUDA LARGO PLAZO;DEUDA LARGO PLAZO;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-08-22;;2023-09-12;-;;;FM232261
"9104";"96836390-5";"9104-9";FONDO MUTUO BANCOESTADO DOLAR DISPONIBLE;DOLAR DISPONIBLE;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-08-25;2023-03-17;2014-12-15;-;2015-02-26;;FM140760
"10284";"96836390-5";"10284-9";FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL;RENTA NOMINAL;Vigente;;"7-FM ESTRUCTURADO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-06-08;2023-03-03;2022-06-09;-;2022-06-10;;FM222043
"10322";"96836390-5";"10322-5";FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL II;RENTA NOMINAL II;Vigente;;"7-FM ESTRUCTURADO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-08-09;2023-03-03;2022-08-10;-;2022-08-10;;FM222081
"10350";"96836390-5";"10350-0";FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL III;RENTA NOMINAL III;Vigente;;"7-FM ESTRUCTURADO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-10-07;2023-03-03;2022-10-11;-;2022-10-12;;FM222109
"10422";"96836390-5";"10422-1";FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL IV;RENTA NOMINAL IV;Vigente;;"7-FM ESTRUCTURADO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-02-16;2023-03-03;2023-02-15;-;2023-02-22;;FM232181
"10451";"96836390-5";"10451-5";FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL V;RENTA NOMINAL V;Vigente;;"7-FM ESTRUCTURADO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-04-06;;2023-04-10;-;2023-04-17;;FM232210
"10476";"96836390-5";"10476-0";FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL VI;RENTA NOMINAL VI;Vigente;;"7-FM ESTRUCTURADO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-06-09;;2023-06-12;-;2023-06-12;;FM232235
"10500";"96836390-5";"10500-7";FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL VII;RENTA NOMINAL VII;Vigente;;"7-FM ESTRUCTURADO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-07-26;;2023-07-27;-;2023-08-01;;FM232259
"10522";"96836390-5";"10522-8";FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL VIII;RENTA NOMINAL VIII;Vigente;;"7-FM ESTRUCTURADO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-09-27;;2023-09-28;-;2023-10-02;;FM232281
"9765";"96836390-5";"9765-9";FONDO MUTUO BANCOESTADO MI FUTURO ACCESIBLE;MI FUTURO ACCESIBLE;Vigente;;"6-FM DE LIBRE INVERSION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-09-02;2023-03-17;2019-07-02;-;2019-07-08;;FM191510
"9766";"96836390-5";"9766-7";FONDO MUTUO BANCOESTADO MI FUTURO CONSERVADOR;MI FUTURO CONSERVADO;Vigente;;"6-FM DE LIBRE INVERSION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-09-02;2023-03-17;2019-07-01;-;2019-07-25;;FM191511
"9768";"96836390-5";"9768-3";FONDO MUTUO BANCOESTADO MI FUTURO MODERADO;MI FUTURO MODERADO;Vigente;;"6-FM DE LIBRE INVERSION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-04-22;2022-12-09;2019-07-02;-;2019-08-16;;FM191513
"8844";"96836390-5";"8844-7";FONDO MUTUO BANCOESTADO PERFIL A;PERFIL A;Vigente;;"6-FM DE LIBRE INVERSION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-04-22;2022-12-09;2011-02-14;Res. 710 (14/02/2011);2011-03-01;;FM110317
"8846";"96836390-5";"8846-3";FONDO MUTUO BANCOESTADO PERFIL E;PERFIL E;Vigente;;"6-FM DE LIBRE INVERSION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-04-22;2022-12-09;2011-02-14;Res. 15 (14/02/2011);2011-02-23;;FM110319
"8845";"96836390-5";"8845-5";FONDO MUTUO BANCOESTADO PERFIL C;PERFIL C;Vigente;;"6-FM DE LIBRE INVERSION";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-04-22;2022-12-09;2011-02-14;Res. 709 (14/02/2011);2011-03-07;;FM110318
"9074";"96836390-5";"9074-3";FONDO MUTUO BANCOESTADO RENTA FUTURA;RENTA FUTURA;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2019-06-14;2021-04-22;2014-08-11;-;2014-08-14;;FM140712
"8064";"96530900-4";"8064-0";FONDO MUTUO BCI ESTRATEGIA UF HASTA 3 AÑOS;FM BCI EST. UF H 3A;Vigente;;"3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-10-14;2022-12-14;1993-06-22;Res. 138 (22/06/1993);1993-06-22;;FM110424
"8430";"96530900-4";"8430-1";FONDO MUTUO BCI ACCIONES CHILENAS;fm Bci Acc. Ch;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2018-11-19;2019-11-06;2006-05-24;Res. 184 (24/05/2006);2006-05-29;;FM110455
